X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
507300.3037,106026.6511,1,redacted,0.05,Food Establishment,Caterer,,,WINDSOR,WINDSOR,,,,,1
508517.0925,110238.6996,2,redacted,0.05,Food Establishment,Caterer,,,WINDSOR,WINDSOR,,,,,1
508517.0925,110238.6996,3,redacted,0.735,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509053.2268,108528.4833,4,redacted,1.68,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
508685.5586,111316.5717,5,redacted,0.945,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
506317.4209,109836.3221,6,redacted,0.05,Food Establishment,Caterer,,,WINDSOR,WINDSOR,,,,,1
509061.4966,108395.1765,7,redacted,0.18,Food Establishment,Caterer,,,WINDSOR,WINDSOR,,,,,1
508818.6761,108472.623,8,redacted,0.05,Food Establishment,Caterer,,,WINDSOR,WINDSOR,,,,,1
508818.6761,108472.623,9,redacted,0.05,Food Establishment,Caterer,,,WINDSOR,WINDSOR,,,,,1
508526.9249,108861.0914,10,redacted,0.04795,Food Establishment,School,,,WINDSOR,WINDSOR,,,,,1
508767.1242,110783.4037,11,redacted,0.13,Food Establishment,Bakery,,,WINDSOR,WINDSOR,,,,,1
508470.1268,108994.3378,12,redacted,0.18,Food Establishment,Grocery,,,WINDSOR,WINDSOR,,,,,1
509050.4346,110606.0207,13,redacted,0.26,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509050.4346,110606.0207,14,redacted,0.42,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509498.077,108617.9744,15,redacted,0.05,Food Establishment,Caterer,,,WINDSOR,WINDSOR,,,,,1
509343.0348,109573.2038,16,redacted,0.72,Food Establishment,Grocery,,,WINDSOR,WINDSOR,,,,,1
507854.478,109693.5115,18,redacted,0.3465,Food Establishment,Hospital,,,WINDSOR,WINDSOR,,,,,1
507854.478,109693.5115,19,redacted,0.18375,Hospital,,,,WINDSOR,WINDSOR,,,,,1
507891.4059,112693.2194,20,redacted,0.2625,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
508394.6165,111160.6644,21,redacted,0.05,Food Establishment,Home-based Business,,,WINDSOR,WINDSOR,,,,,1
507956.2867,112526.6474,22,redacted,1.8375,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509295.0055,109206.5124,23,redacted,0.05,Food Establishment,Home-based Business,,,WINDSOR,WINDSOR,,,,,1
509181.9019,109095.2589,24,redacted,0.0735,Nursing/Assisted Living,Residential Facility,,,WINDSOR,WINDSOR,,,,,1
508996.0743,108917.2508,25,redacted,0.0945,Nursing/Assisted Living,Residential Facility,,,WINDSOR,WINDSOR,,,,,1
509222.4117,109050.8749,26,redacted,0.16275,Nursing/Assisted Living,Residential Facility,,,WINDSOR,WINDSOR,,,,,1
508298.4921,103839.1828,27,redacted,0.20475,Nursing/Assisted Living,Residential Facility,,,WINDSOR,WINDSOR,,,,,1
508298.4921,103839.1828,28,redacted,0.07875,Nursing/Assisted Living,Residential Facility,,,WINDSOR,WINDSOR,,,,,1
510273.129,120262.3264,29,redacted,0.72,Food Establishment,Grocery,,,WINDSOR,WINDSOR,,,,,1
505952.203,111213.6109,30,redacted,0.525,Correctional Facility,,,,WINDSOR,WINDSOR,,,,,1
509262.9525,108984.2715,31,redacted,0.18,Food Establishment,Grocery,,,WINDSOR,WINDSOR,,,,,1
509157.9346,108873.0296,32,redacted,0.105,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509190.2342,108917.5129,33,redacted,0.26,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509190.2342,108917.5129,34,redacted,0.26,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
507899.6479,112559.9104,35,redacted,0.525,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509270.5225,109362.0165,36,redacted,0.441,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
509157.98,108839.7001,37,redacted,0.966,Food Establishment,Restaurant,,,WINDSOR,WINDSOR,,,,,1
