geometry,SWID,NAME,PERMITTED,TYPE,RECYCLING,TRASH,EWaste,HHW,FOOD SCRAPS,C&D,CLEAN WOOD,LEAF YARD DEBRIS,MATERIAL SPECIFICS,ADDRESS,TOWN,STATE,ZIP,COUNTY,MAILING ADDRESS,MAILING CITY,MAILING STATE,MAILING ZIP,TELEPHONE,Email,WEBSITE,LAST VISIT,Active,Latitude,Longitude,Location,ID,EABPartnerFacility
"X: -8140059.65307286, Y: 5546191.1461358, Z: NaN",CH211,redacted,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,,,VT,,Chittenden,,,,,,,,,,44.51948797,-73.12335044,,59,NO
"X: -8135885.17216811, Y: 5594719.56981977, Z: NaN",FR540,redacted,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,,,VT,,Franklin,,,,,,,,,,44.82948692,-73.08594704,,84,NO
"X: -8156846.63228448, Y: 5615352.35811508, Z: NaN",GI011,redacted,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,,,VT,,Grand Isle,,,,,,,,,,44.9608232,-73.2742027,,86,NO
"X: -8160998.84929107, Y: 5588082.46353907, Z: NaN",GI421,redacted,Yes,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,,,VT,,Grand Isle,,,,,,,,,,44.787154,-73.3114931,,88,NO
"X: -8162612.98190757, Y: 5571675.33653966, Z: NaN",GI251,redacted,Yes,Transfer Station,YES,YES,NO,YES,YES,,YES,YES,,,,VT,,Grand Isle,,,,,,,,,,44.682533,-73.326019,,87,NO
"X: -8132378.60820812, Y: 5612112.10783557, Z: NaN",FR311,redacted,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,,,VT,,Franklin,,,,,,,,,,44.94015494,-73.05438125,,81,YES
"X: -8082607.66387445, Y: 5602429.74546968, Z: NaN",FR550,redacted,Yes,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,,,VT,,Franklin,,,,,,,,,,44.87858586,-72.60732622,,83,NO
"X: -8061980.16223046, Y: 5604566.51756017, Z: NaN",OL980,redacted,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,,,VT,,Orleans,,,,,,,,,,44.89220067,-72.42204745,,131,NO
"X: -8104014.40195399, Y: 5588113.83320812, Z: NaN",N/A,redacted,No,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,,,VT,,Franklin,,,,,,,,,,44.787429,-72.79962,,78,NO
"X: -8117829.15076144, Y: 5565023.79038012, Z: NaN",LA121,redacted,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,,,VT,,Lamoille,,,,,,,,,,44.63995584,-72.92365072,,89,NO
