SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
redacted,redacted,GEN-SW,Notice Of Non-Compliance,12/22/21,redacted,0,NO RESPONSE FRFI REGARDING N0 RECYCLING COMPLAINT
,,GEN-SW,Notice Of Non-Compliance,11/30/21,,0,"WASTE BAN VIOLATION CARDBOARD, OBS 10/15/21 AT LYNN TS"
,,GEN-SW,Notice Of Non-Compliance,11/30/21,,0,"OBS HOWARD OCT 19 2021, WASTE BAN VIOLATION CARDBOARD, LOAD ORIG 59 ROSEDAL RD WATERTOWN MA"
,,GEN-SW,Notice Of Non-Compliance,11/15/21,,0,"METAL, AC, WOOD - OBSERVED AT WESTERN RECYCLING WILBRAHAM"
,,GEN-SW,Notice Of Non-Compliance,11/3/21,,0,CARBOARD OBSERVED AT WESTERN RECYCLING WILBRAHAM. THE INCORRECT FMF # 131074 WAS WRITTEN ON THE NON IN ERROR
,,GEN-SW,"Administrative Consent Order, With Penalty",10/8/21,,1000,WASTE BAN VIOLATION CARDBOARD OBS SAUGUS WHEELEBRATOR JUNE 2021. PRIOR ACOP 2018 WITH RTC
,,GEN-SW,Notice Of Non-Compliance,10/1/21,,0,"WASTE BAN VIOLATION, CARDBOARD, OBS AUG 7 2021 AT HOWARD TS"
,,GEN-SW,Notice Of Non-Compliance,10/1/21,,0,"OBS AUG 7 2021 AT HOWARD TS, WASTE BAN VIOLATION, CRADBOARD, FRONT LOAD PACKER"
,,GEN-SW,Notice Of Non-Compliance,10/1/21,,0,"OBS AUG 27 2021 AT RAYNHAM TS, WASTE BAN VIOLATION CARDBOARD, GILLETTE STADIUM PATRIOT PLACE FOXBOROUGH"
,,GEN-SW,Notice Of Non-Compliance,9/16/21,,0,WASTE BAN VIOLATIONS OCCURED AT WHEELABRATOR MILLBURY ON 7/15/21 AND 8/13/21.
,,GEN-SW,Notice Of Non-Compliance,9/3/21,,0,CARDBOARD OBSERVED AT MCNAMARA SPRINGFIELD
,,GEN-SW,Notice Of Non-Compliance,9/3/21,,0,CARDBOARD OBSERVED AT CASELLA OF HOLYOKE
,,GEN-SW,Notice Of Non-Compliance,9/3/21,,0,"WASTE BAN VIOLATION ORIG FROM KELLY HOND LYNNWAY LYNN, MA OBS JUL 17 2021 CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,9/3/21,,0,"WOOD, PLASTIC CONTAINERS, AND CARDBOARD OBSERVED AT MCNAMARA SPRINGFIELD"
,,GEN-SW,Notice Of Non-Compliance,9/3/21,,0,CARDBOARD AND WOOD OBSERVED AT CASELLA HOLYOKE
,,GEN-SW,Notice Of Non-Compliance,9/3/21,,0,CARDBOARD OBSERVED AT MCNAMARA
,,GEN-SW,Notice Of Non-Compliance,8/13/21,,0,"WASTE BAN VIOLATION, OBS JULY 16, 2021 AT DANVERS TS"
,,GEN-SW,Notice Of Non-Compliance,8/13/21,,0,"WASTE BAN VIOLATION, OBS PEABODY WOOD TS JULY 6, 2021, RECYCLABLE PAPER CARDBOARD, YARD WASTE HAY"
,,GEN-SW,Notice Of Non-Compliance,8/13/21,,0,"WASTE BAN VIOLATION, PAPER CARDBOARD, OBS AT NEWD ON 7/20/21"
,,GEN-SW,Notice Of Non-Compliance,8/13/21,,0,"OBS JULY 16 2021 AT DANVERS TS, LOAD ORIG FROM 210 ANDOVER ST, PEABODY, MA, WASTE BAN VIOLATION, RECYCLABLE PAPER CARDBOARD"
,,GEN-SW,"Administrative Consent Order, With Penalty",8/9/21,,1860,"OBS 12/4/20 AT RAYNHAM TS CRADBOARD 176 GROVE ST FRANKLIN MA WASTE BAN VIOLATION, NO RESPONSE TO NON-00009881"
,,HAULER,Notice Of Non-Compliance,1/7/20,,0,WOOD AND METAL OBSERVED AT HOWARD TS 12/12/19
,,GEN-SW,Notice Of Non-Compliance,6/8/21,,0,"WB VIOLATIONS OCCURED AT WBNA ON 3/18/21, 4/30/2021, 05/7/2021 AND 5/7/2021."
